Character,Word,Word Count
Animatronic Kier,one,1
Animatronic Kier,people,1
Animatronic Kier,principle,1
Animatronic Kier,revel,1
Animatronic Kier,s,1
Animatronic Kier,same,1
Animatronic Kier,say,1
Animatronic Kier,seth,1
Animatronic Kier,steward,1
Animatronic Kier,thank,2
Animatronic Kier,that,1
Animatronic Kier,the,4
Animatronic Kier,thing,1
Animatronic Kier,thus,1
Animatronic Kier,to,1
Animatronic Kier,verbose,1
Animatronic Kier,very,1
Animatronic Kier,vision,1
Animatronic Kier,write,1
Animatronic Kier,you,7
Animatronic Kier,your,4
BYSTANDER (voice),a,1
BYSTANDER (voice),came,1
BYSTANDER (voice),from,1
BYSTANDER (voice),guess,1
BYSTANDER (voice),he,1
BYSTANDER (voice),i,1
BYSTANDER (voice),in,1
BYSTANDER (voice),it,1
BYSTANDER (voice),nearby,1
BYSTANDER (voice),on,1
BYSTANDER (voice),robe,1
BYSTANDER (voice),that,1
BYSTANDER (voice),was,1
BYSTANDER (voice),with,1
Baby Goat,bleating,1
Balf,is,1
Balf,neti,1
Balf,pot,1
Balf,ricken,1
Balf,the,1
Balf,warm,1
Bartender,just,1
Bartender,sir,1
Bartender,wine,1
Bukayo,and,1
Bukayo,are,2
Bukayo,back,1
Bukayo,been,1
Bukayo,choreography,1
Bukayo,compromised,1
Bukayo,doing,1
Bukayo,fall,1
Bukayo,has,1
Bukayo,instruments,1
Bukayo,merriment,1
Bukayo,of,1
Bukayo,our,1
Bukayo,performance,1
Bukayo,property,1
Bukayo,those,1
Bukayo,to,1
Bukayo,what,1
Bukayo,you,1
Burt,a,28
Burt,about,8
Burt,according,1
Burt,actually,2
Burt,again,4
Burt,ages,1
Burt,aggressive,1
Burt,ago,3
Burt,alice,1
Burt,all,12
Burt,along,1
Burt,also,3
Burt,always,1
Burt,am,2
Burt,an,7
Burt,and,29
Burt,another,1
Burt,answer,1
Burt,anticipation,1
Burt,any,4
Burt,anybody,1
Burt,anyone,1
Burt,anything,2
Burt,anyway,1
Burt,appendix,1
Burt,are,11
Burt,around,2
Burt,as,7
Burt,ask,1
Burt,asked,2
Burt,at,8
Burt,attack,1
Burt,attending,1
Burt,attila,2
Burt,baby,1
Burt,back,6
Burt,bag,1
Burt,barbarities,1
Burt,barbarity,1
Burt,barely,1
Burt,be,16
Burt,became,1
Burt,because,1
Burt,been,8
Burt,before,1
Burt,being,2
Burt,best,1
Burt,better,3
Burt,big,1
Burt,blank,1
Burt,blood,2
Burt,bon,2
Burt,break,1
Burt,breakfast,1
Burt,bring,2
Burt,buddy,2
Burt,burns,1
Burt,burt,2
Burt,but,12
Burt,by,2
Burt,calamity,1
Burt,call,3
Burt,called,1
Burt,calming,1
Burt,came,2
Burt,can,6
Burt,cancel,1
Burt,canned,1
Burt,cares,1
Burt,centuries,1
Burt,certain,1
Burt,certainly,1
Burt,change,1
Burt,characteristics,1
Burt,cherished,1
Burt,chiefs,1
Burt,church,2
Burt,close,1
Burt,come,10
Burt,coming,2
Burt,completely,1
Burt,congratulations,1
Burt,connected,1
Burt,conscious,1
Burt,consider,1
Burt,contact,2
Burt,corn,1
Burt,corner,1
Burt,could,7
Burt,couple,1
Burt,course,6
Burt,crazy,1
Burt,cumin,1
Burt,cycled,1
Burt,day,5
Burt,days,1
Burt,deaths,1
Burt,deep,2
Burt,definitely,1
Burt,delighted,2
Burt,department,3
Burt,departments,1
Burt,design,3
Burt,did,4
Burt,directions,2
Burt,disappearances,1
Burt,disco,1
Burt,disorienting,1
Burt,distract,1
Burt,do,8
Burt,does,2
Burt,doing,1
